MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedianHouseValue
np.float64(3.6875),np.float64(44.0),np.float64(4.524475524475524),np.float64(0.993006993006993),np.float64(457.0),np.float64(3.195804195804196),np.float64(34.04),np.float64(-118.15),np.float64(1.625)
np.float64(3.9917),np.float64(25.0),np.float64(5.576363636363636),np.float64(1.0345454545454544),np.float64(1602.0),np.float64(2.9127272727272726),np.float64(38.33),np.float64(-122.82),np.float64(2.441)
np.float64(1.69),np.float64(18.0),np.float64(4.423529411764706),np.float64(1.1458823529411766),np.float64(994.0),np.float64(2.3388235294117647),np.float64(34.14),np.float64(-116.32),np.float64(0.542)
np.float64(3.9643),np.float64(52.0),np.float64(4.797979797979798),np.float64(1.02020202020202),np.float64(467.0),np.float64(2.3585858585858586),np.float64(37.84),np.float64(-122.26),np.float64(1.888)
np.float64(6.6704),np.float64(25.0),np.float64(6.829317269076305),np.float64(1.0220883534136547),np.float64(1503.0),np.float64(3.0180722891566263),np.float64(33.88),np.float64(-117.99),np.float64(2.406)
np.float64(1.608),np.float64(39.0),np.float64(4.181547619047619),np.float64(1.0089285714285714),np.float64(1489.0),np.float64(4.431547619047619),np.float64(34.06),np.float64(-117.66),np.float64(0.918)
np.float64(3.8571),np.float64(52.0),np.float64(5.044943820224719),np.float64(1.0192616372391654),np.float64(1350.0),np.float64(2.1669341894060996),np.float64(37.77),np.float64(-122.47),np.float64(3.667)
np.float64(3.3125),np.float64(4.0),np.float64(4.198209718670077),np.float64(1.1649616368286444),np.float64(1512.0),np.float64(1.9335038363171355),np.float64(33.57),np.float64(-117.7),np.float64(1.385)
np.float64(2.7153),np.float64(16.0),np.float64(5.582914572864322),np.float64(1.135678391959799),np.float64(317.0),np.float64(1.592964824120603),np.float64(37.3),np.float64(-121.93),np.float64(2.333)
np.float64(3.0625),np.float64(17.0),np.float64(4.680555555555555),np.float64(0.9940476190476191),np.float64(884.0),np.float64(1.753968253968254),np.float64(37.69),np.float64(-122.45),np.float64(0.875)
np.float64(6.1142),np.float64(35.0),np.float64(4.825242718446602),np.float64(0.9546925566343042),np.float64(779.0),np.float64(2.5210355987055015),np.float64(34.19),np.float64(-118.46),np.float64(2.563)
np.float64(4.7703),np.float64(52.0),np.float64(5.070904645476773),np.float64(0.980440097799511),np.float64(1136.0),np.float64(2.7775061124694376),np.float64(37.75),np.float64(-122.48),np.float64(3.31)
np.float64(3.6),np.float64(37.0),np.float64(4.3497267759562845),np.float64(0.9562841530054644),np.float64(740.0),np.float64(4.043715846994536),np.float64(33.9),np.float64(-118.1),np.float64(1.564)
np.float64(3.6042),np.float64(21.0),np.float64(5.619883040935672),np.float64(1.0058479532163742),np.float64(1051.0),np.float64(3.073099415204678),np.float64(38.33),np.float64(-122.31),np.float64(1.833)
np.float64(2.2765),np.float64(38.0),np.float64(5.603174603174603),np.float64(1.199546485260771),np.float64(1661.0),np.float64(3.766439909297052),np.float64(34.16),np.float64(-118.15),np.float64(1.466)
np.float64(4.4432),np.float64(35.0),np.float64(5.322077922077922),np.float64(1.0129870129870129),np.float64(1286.0),np.float64(3.3402597402597403),np.float64(34.23),np.float64(-118.43),np.float64(1.815)
np.float64(4.0),np.float64(24.0),np.float64(4.848066298342541),np.float64(1.0082872928176796),np.float64(952.0),np.float64(2.6298342541436464),np.float64(37.7),np.float64(-122.17),np.float64(2.026)
np.float64(15.0001),np.float64(15.0),np.float64(8.062043795620438),np.float64(1.0036496350364963),np.float64(735.0),np.float64(2.6824817518248176),np.float64(33.62),np.float64(-117.87),np.float64(5.00001)
np.float64(1.6635),np.float64(37.0),np.float64(4.990196078431373),np.float64(1.0441176470588236),np.float64(663.0),np.float64(3.25),np.float64(36.51),np.float64(-119.56),np.float64(0.67)
np.float64(2.6518),np.float64(40.0),np.float64(5.573717948717949),np.float64(1.0192307692307692),np.float64(744.0),np.float64(2.3846153846153846),np.float64(38.29),np.float64(-122.3),np.float64(1.561)
np.float64(3.4087),np.float64(45.0),np.float64(4.67948717948718),np.float64(1.0128205128205128),np.float64(672.0),np.float64(2.871794871794872),np.float64(34.15),np.float64(-118.07),np.float64(2.092)
np.float64(4.2614),np.float64(36.0),np.float64(5.690384615384615),np.float64(1.0173076923076922),np.float64(1125.0),np.float64(2.1634615384615383),np.float64(37.29),np.float64(-121.89),np.float64(2.688)
np.float64(6.0162),np.float64(20.0),np.float64(5.639830508474576),np.float64(0.9830508474576272),np.float64(1275.0),np.float64(2.7012711864406778),np.float64(33.82),np.float64(-118.03),np.float64(3.185)
np.float64(2.025),np.float64(43.0),np.float64(4.30327868852459),np.float64(1.0327868852459017),np.float64(820.0),np.float64(3.360655737704918),np.float64(34.07),np.float64(-118.12),np.float64(2.156)
np.float64(4.025),np.float64(16.0),np.float64(4.90748031496063),np.float64(1.063976377952756),np.float64(2805.0),np.float64(2.7608267716535435),np.float64(38.0),np.float64(-122.29),np.float64(1.732)
np.float64(2.3333),np.float64(32.0),np.float64(5.816976127320955),np.float64(1.1405835543766578),np.float64(1074.0),np.float64(2.848806366047745),np.float64(34.65),np.float64(-120.47),np.float64(1.302)
np.float64(13.2949),np.float64(4.0),np.float64(9.104216388225934),np.float64(1.0779634049323787),np.float64(3898.0),np.float64(3.1010342084327767),np.float64(37.82),np.float64(-121.89),np.float64(5.00001)
np.float64(3.975),np.float64(18.0),np.float64(3.9081632653061225),np.float64(0.9591836734693877),np.float64(487.0),np.float64(4.969387755102041),np.float64(33.8),np.float64(-117.99),np.float64(1.625)
np.float64(3.0208),np.float64(42.0),np.float64(5.233183856502242),np.float64(0.9753363228699552),np.float64(892.0),np.float64(2.0),np.float64(38.58),np.float64(-121.44),np.float64(1.488)
np.float64(5.1184),np.float64(41.0),np.float64(6.088235294117647),np.float64(1.0411764705882354),np.float64(804.0),np.float64(2.364705882352941),np.float64(37.8),np.float64(-122.2),np.float64(2.396)
np.float64(6.3654),np.float64(26.0),np.float64(7.3610648918469215),np.float64(1.0249584026622296),np.float64(1839.0),np.float64(3.059900166389351),np.float64(34.45),np.float64(-119.84),np.float64(3.312)
np.float64(3.2617),np.float64(10.0),np.float64(3.9291417165668663),np.float64(1.0518962075848304),np.float64(2032.0),np.float64(2.027944111776447),np.float64(37.45),np.float64(-121.92),np.float64(2.522)
np.float64(3.3958),np.float64(39.0),np.float64(5.0062111801242235),np.float64(1.062111801242236),np.float64(912.0),np.float64(2.8322981366459627),np.float64(37.77),np.float64(-122.17),np.float64(1.419)
np.float64(1.6102),np.float64(14.0),np.float64(4.488593155893536),np.float64(1.1425855513307985),np.float64(1831.0),np.float64(3.4809885931558937),np.float64(32.74),np.float64(-117.1),np.float64(0.934)
np.float64(2.875),np.float64(29.0),np.float64(4.182065217391305),np.float64(1.0679347826086956),np.float64(1460.0),np.float64(1.983695652173913),np.float64(33.77),np.float64(-118.16),np.float64(2.325)
np.float64(4.7917),np.float64(34.0),np.float64(6.112328767123287),np.float64(0.9863013698630136),np.float64(1035.0),np.float64(2.835616438356164),np.float64(37.25),np.float64(-121.92),np.float64(2.432)
np.float64(3.2847),np.float64(35.0),np.float64(6.218867924528302),np.float64(1.0754716981132075),np.float64(792.0),np.float64(2.9886792452830186),np.float64(36.09),np.float64(-119.56),np.float64(0.647)
np.float64(3.7459),np.float64(33.0),np.float64(5.198821796759941),np.float64(1.0309278350515463),np.float64(2959.0),np.float64(4.357879234167894),np.float64(34.01),np.float64(-117.97),np.float64(1.529)
np.float64(5.2051),np.float64(13.0),np.float64(6.842443729903537),np.float64(0.9951768488745981),np.float64(1948.0),np.float64(3.1318327974276525),np.float64(38.68),np.float64(-121.26),np.float64(1.674)
np.float64(5.0874),np.float64(36.0),np.float64(5.637254901960785),np.float64(0.9640522875816994),np.float64(799.0),np.float64(2.611111111111111),np.float64(33.73),np.float64(-118.31),np.float64(3.685)
np.float64(3.0341),np.float64(27.0),np.float64(4.541554959785523),np.float64(1.0536193029490617),np.float64(1890.0),np.float64(5.067024128686327),np.float64(33.91),np.float64(-118.23),np.float64(0.891)
np.float64(1.9612),np.float64(32.0),np.float64(4.343220338983051),np.float64(1.097457627118644),np.float64(874.0),np.float64(3.7033898305084745),np.float64(35.37),np.float64(-118.96),np.float64(0.534)
np.float64(5.6292),np.float64(24.0),np.float64(6.454954954954955),np.float64(0.9831081081081081),np.float64(2444.0),np.float64(2.7522522522522523),np.float64(37.94),np.float64(-122.04),np.float64(2.314)
np.float64(6.1636),np.float64(28.0),np.float64(6.380952380952381),np.float64(0.9821428571428571),np.float64(363.0),np.float64(2.1607142857142856),np.float64(37.76),np.float64(-122.46),np.float64(3.677)
np.float64(2.4306),np.float64(36.0),np.float64(5.140845070422535),np.float64(1.091549295774648),np.float64(476.0),np.float64(3.352112676056338),np.float64(34.0),np.float64(-117.37),np.float64(0.889)
np.float64(5.7393),np.float64(52.0),np.float64(4.818627450980392),np.float64(1.2058823529411764),np.float64(578.0),np.float64(2.8333333333333335),np.float64(34.06),np.float64(-118.32),np.float64(5.00001)
np.float64(10.0187),np.float64(20.0),np.float64(8.496376811594203),np.float64(1.1666666666666667),np.float64(890.0),np.float64(3.2246376811594204),np.float64(37.21),np.float64(-121.95),np.float64(5.00001)
np.float64(1.8144),np.float64(19.0),np.float64(4.3485576923076925),np.float64(1.1466346153846154),np.float64(2051.0),np.float64(4.930288461538462),np.float64(35.79),np.float64(-119.1),np.float64(0.498)
np.float64(5.8324),np.float64(17.0),np.float64(6.457960644007156),np.float64(1.0608228980322003),np.float64(1734.0),np.float64(3.1019677996422184),np.float64(36.9),np.float64(-121.29),np.float64(3.742)
np.float64(2.3971),np.float64(17.0),np.float64(4.654867256637168),np.float64(1.0553097345132743),np.float64(1476.0),np.float64(1.6327433628318584),np.float64(37.28),np.float64(-121.85),np.float64(0.875)
np.float64(5.3129),np.float64(15.0),np.float64(5.5476190476190474),np.float64(1.0164835164835164),np.float64(1559.0),np.float64(2.8553113553113554),np.float64(33.05),np.float64(-117.24),np.float64(1.692)
np.float64(7.7197),np.float64(4.0),np.float64(6.153846153846154),np.float64(0.7692307692307693),np.float64(55.0),np.float64(4.230769230769231),np.float64(33.89),np.float64(-117.42),np.float64(1.938)
np.float64(4.3636),np.float64(28.0),np.float64(6.138020833333333),np.float64(1.0625),np.float64(1162.0),np.float64(3.0260416666666665),np.float64(34.67),np.float64(-118.22),np.float64(1.797)
np.float64(2.3359),np.float64(40.0),np.float64(4.47976011994003),np.float64(1.0344827586206897),np.float64(2144.0),np.float64(3.214392803598201),np.float64(34.02),np.float64(-118.13),np.float64(1.893)
np.float64(5.0092),np.float64(24.0),np.float64(6.487804878048781),np.float64(0.8926829268292683),np.float64(656.0),np.float64(3.2),np.float64(37.97),np.float64(-121.97),np.float64(2.441)
np.float64(1.725),np.float64(52.0),np.float64(3.765151515151515),np.float64(0.9772727272727273),np.float64(623.0),np.float64(2.359848484848485),np.float64(37.74),np.float64(-121.43),np.float64(1.115)
np.float64(3.2898),np.float64(49.0),np.float64(4.293216630196937),np.float64(0.9518599562363238),np.float64(1329.0),np.float64(2.9080962800875274),np.float64(34.17),np.float64(-118.13),np.float64(2.0)
np.float64(2.6167),np.float64(42.0),np.float64(4.061007957559681),np.float64(0.8647214854111406),np.float64(1271.0),np.float64(3.3713527851458887),np.float64(37.99),np.float64(-122.34),np.float64(0.851)
np.float64(3.0086),np.float64(27.0),np.float64(5.254424778761062),np.float64(1.1880530973451326),np.float64(863.0),np.float64(1.9092920353982301),np.float64(38.61),np.float64(-121.38),np.float64(1.269)
