MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedianHouseValue
np.float64(3.6641),np.float64(17.0),np.float64(5.577142857142857),np.float64(1.1542857142857144),np.float64(511.0),np.float64(2.92),np.float64(40.85),np.float64(-121.07),np.float64(0.808)
np.float64(3.5795),np.float64(12.0),np.float64(6.857575757575757),np.float64(1.2424242424242424),np.float64(913.0),np.float64(2.7666666666666666),np.float64(37.47),np.float64(-121.11),np.float64(1.456)
np.float64(1.6642),np.float64(39.0),np.float64(3.504950495049505),np.float64(1.0907590759075907),np.float64(1365.0),np.float64(2.2524752475247523),np.float64(36.97),np.float64(-122.02),np.float64(2.813)
np.float64(1.5893),np.float64(17.0),np.float64(4.244336569579288),np.float64(1.0663430420711975),np.float64(1912.0),np.float64(3.0938511326860842),np.float64(36.07),np.float64(-119.04),np.float64(0.52)
np.float64(4.8494),np.float64(5.0),np.float64(6.653132250580047),np.float64(1.0812064965197217),np.float64(2623.0),np.float64(3.04292343387471),np.float64(35.61),np.float64(-117.66),np.float64(0.872)
np.float64(1.7708),np.float64(24.0),np.float64(4.897897897897898),np.float64(1.021021021021021),np.float64(1042.0),np.float64(3.129129129129129),np.float64(40.11),np.float64(-122.17),np.float64(0.59)
np.float64(3.7426),np.float64(19.0),np.float64(6.129287598944591),np.float64(1.0474934036939314),np.float64(963.0),np.float64(2.54089709762533),np.float64(39.18),np.float64(-121.08),np.float64(1.627)
np.float64(2.7139),np.float64(52.0),np.float64(5.389830508474576),np.float64(1.023728813559322),np.float64(844.0),np.float64(2.8610169491525426),np.float64(33.97),np.float64(-118.32),np.float64(1.649)
np.float64(4.0893),np.float64(41.0),np.float64(4.805732484076433),np.float64(1.035031847133758),np.float64(821.0),np.float64(2.6146496815286624),np.float64(33.8),np.float64(-118.13),np.float64(2.23)
np.float64(3.0375),np.float64(42.0),np.float64(5.652298850574713),np.float64(1.0862068965517242),np.float64(1459.0),np.float64(4.192528735632184),np.float64(34.03),np.float64(-117.73),np.float64(1.181)
np.float64(2.5719),np.float64(32.0),np.float64(4.370253164556962),np.float64(1.0316455696202531),np.float64(2677.0),np.float64(4.235759493670886),np.float64(33.9),np.float64(-118.19),np.float64(1.056)
np.float64(4.6667),np.float64(4.0),np.float64(6.892030848329049),np.float64(1.1134777818582446),np.float64(8805.0),np.float64(3.2335659199412414),np.float64(33.97),np.float64(-117.29),np.float64(1.606)
np.float64(1.2101),np.float64(40.0),np.float64(3.978217821782178),np.float64(1.0277227722772277),np.float64(2219.0),np.float64(4.394059405940594),np.float64(36.76),np.float64(-119.77),np.float64(0.491)
np.float64(8.6123),np.float64(21.0),np.float64(8.056451612903226),np.float64(1.0),np.float64(1323.0),np.float64(3.556451612903226),np.float64(33.82),np.float64(-118.05),np.float64(3.867)
np.float64(4.8667),np.float64(34.0),np.float64(5.712418300653595),np.float64(1.0),np.float64(549.0),np.float64(3.588235294117647),np.float64(33.84),np.float64(-117.97),np.float64(1.868)
np.float64(3.8719),np.float64(29.0),np.float64(5.484674329501916),np.float64(1.0229885057471264),np.float64(1392.0),np.float64(2.6666666666666665),np.float64(32.8),np.float64(-117.12),np.float64(1.742)
np.float64(2.7118),np.float64(25.0),np.float64(3.8410041841004183),np.float64(1.2359832635983263),np.float64(2723.0),np.float64(2.2786610878661087),np.float64(34.2),np.float64(-118.47),np.float64(2.817)
np.float64(7.494),np.float64(22.0),np.float64(7.6008359456635315),np.float64(1.0470219435736676),np.float64(2468.0),np.float64(2.57889237199582),np.float64(37.99),np.float64(-122.47),np.float64(4.392)
np.float64(8.4438),np.float64(16.0),np.float64(7.512195121951219),np.float64(1.0),np.float64(1902.0),np.float64(3.313588850174216),np.float64(34.22),np.float64(-118.64),np.float64(3.9)
np.float64(1.245),np.float64(42.0),np.float64(3.624254473161034),np.float64(1.125248508946322),np.float64(761.0),np.float64(1.5129224652087476),np.float64(38.58),np.float64(-121.48),np.float64(1.375)
np.float64(3.0197),np.float64(26.0),np.float64(4.4637002341920375),np.float64(0.955503512880562),np.float64(1325.0),np.float64(3.1030444964871196),np.float64(33.21),np.float64(-117.26),np.float64(1.36)
np.float64(2.6485),np.float64(18.0),np.float64(4.235249042145594),np.float64(1.1080459770114943),np.float64(2883.0),np.float64(2.2091954022988505),np.float64(38.59),np.float64(-121.41),np.float64(1.145)
np.float64(3.4167),np.float64(31.0),np.float64(7.023255813953488),np.float64(1.1317829457364341),np.float64(383.0),np.float64(2.9689922480620154),np.float64(37.67),np.float64(-121.06),np.float64(1.969)
np.float64(8.7288),np.float64(6.0),np.float64(8.715841584158415),np.float64(1.102970297029703),np.float64(3385.0),np.float64(3.3514851485148514),np.float64(34.23),np.float64(-118.83),np.float64(4.258)
np.float64(3.6364),np.float64(19.0),np.float64(6.465408805031447),np.float64(1.20125786163522),np.float64(340.0),np.float64(2.138364779874214),np.float64(33.68),np.float64(-117.95),np.float64(2.528)
np.float64(3.2125),np.float64(46.0),np.float64(5.0087463556851315),np.float64(1.0029154518950438),np.float64(756.0),np.float64(2.204081632653061),np.float64(34.17),np.float64(-118.34),np.float64(2.47)
np.float64(3.1176),np.float64(33.0),np.float64(4.293413173652695),np.float64(1.1197604790419162),np.float64(1511.0),np.float64(1.8095808383233534),np.float64(37.23),np.float64(-121.98),np.float64(3.963)
np.float64(1.5539),np.float64(44.0),np.float64(5.066666666666666),np.float64(1.0873563218390805),np.float64(1277.0),np.float64(2.935632183908046),np.float64(37.96),np.float64(-121.23),np.float64(0.592)
np.float64(1.899),np.float64(39.0),np.float64(3.601173020527859),np.float64(1.1114369501466275),np.float64(851.0),np.float64(2.495601173020528),np.float64(34.96),np.float64(-120.44),np.float64(1.133)
np.float64(3.0),np.float64(24.0),np.float64(4.626146788990826),np.float64(0.9541284403669725),np.float64(900.0),np.float64(2.0642201834862384),np.float64(33.92),np.float64(-117.97),np.float64(2.514)
np.float64(4.3098),np.float64(52.0),np.float64(5.436708860759493),np.float64(0.9936708860759493),np.float64(429.0),np.float64(2.7151898734177213),np.float64(37.77),np.float64(-122.25),np.float64(1.979)
np.float64(7.0913),np.float64(23.0),np.float64(5.95),np.float64(0.9088235294117647),np.float64(678.0),np.float64(1.9941176470588236),np.float64(33.03),np.float64(-117.06),np.float64(2.654)
np.float64(5.6435),np.float64(33.0),np.float64(6.261744966442953),np.float64(1.0984340044742729),np.float64(978.0),np.float64(2.1879194630872485),np.float64(33.96),np.float64(-118.44),np.float64(5.00001)
np.float64(4.2813),np.float64(39.0),np.float64(4.647058823529412),np.float64(0.9673202614379085),np.float64(347.0),np.float64(2.2679738562091503),np.float64(34.01),np.float64(-118.46),np.float64(2.972)
np.float64(4.7708),np.float64(36.0),np.float64(5.106280193236715),np.float64(1.0),np.float64(658.0),np.float64(3.178743961352657),np.float64(34.07),np.float64(-117.92),np.float64(1.917)
np.float64(3.6572),np.float64(26.0),np.float64(4.160797342192691),np.float64(1.0930232558139534),np.float64(3001.0),np.float64(1.9940199335548172),np.float64(34.14),np.float64(-118.1),np.float64(2.132)
np.float64(4.5179),np.float64(25.0),np.float64(5.40117994100295),np.float64(1.0176991150442478),np.float64(809.0),np.float64(2.3864306784660765),np.float64(33.81),np.float64(-118.01),np.float64(1.771)
np.float64(4.6146),np.float64(21.0),np.float64(5.503168567807351),np.float64(0.9923954372623575),np.float64(2172.0),np.float64(2.752851711026616),np.float64(37.57),np.float64(-121.97),np.float64(2.476)
np.float64(3.6458),np.float64(44.0),np.float64(4.567961165048544),np.float64(1.116504854368932),np.float64(493.0),np.float64(2.3932038834951457),np.float64(34.0),np.float64(-118.46),np.float64(3.258)
np.float64(7.2519),np.float64(33.0),np.float64(7.526515151515151),np.float64(1.0378787878787878),np.float64(1398.0),np.float64(2.647727272727273),np.float64(33.96),np.float64(-117.37),np.float64(2.166)
np.float64(3.0057),np.float64(22.0),np.float64(6.751461988304094),np.float64(1.6695906432748537),np.float64(919.0),np.float64(2.6871345029239766),np.float64(39.24),np.float64(-120.02),np.float64(0.936)
np.float64(4.25),np.float64(24.0),np.float64(5.35343618513324),np.float64(1.1037868162692848),np.float64(1656.0),np.float64(2.3225806451612905),np.float64(33.78),np.float64(-117.84),np.float64(2.48)
np.float64(2.8152),np.float64(36.0),np.float64(3.532286212914485),np.float64(1.0296684118673647),np.float64(2028.0),np.float64(3.5392670157068062),np.float64(33.99),np.float64(-118.08),np.float64(1.639)
