MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedianHouseValue
np.float64(3.5214),np.float64(15.0),np.float64(3.0499445061043287),np.float64(1.106548279689234),np.float64(1447.0),np.float64(1.6059933407325193),np.float64(37.63),np.float64(-122.43),np.float64(1.442)
np.float64(5.3275),np.float64(5.0),np.float64(6.490059642147117),np.float64(0.9910536779324056),np.float64(3464.0),np.float64(3.4433399602385686),np.float64(33.69),np.float64(-117.39),np.float64(1.687)
np.float64(3.1),np.float64(29.0),np.float64(7.5423728813559325),np.float64(1.5915254237288134),np.float64(1328.0),np.float64(2.2508474576271187),np.float64(38.44),np.float64(-122.98),np.float64(1.621)
np.float64(7.1736),np.float64(12.0),np.float64(6.289002557544757),np.float64(0.9974424552429667),np.float64(1054.0),np.float64(2.6956521739130435),np.float64(33.55),np.float64(-117.7),np.float64(2.621)
np.float64(2.0549),np.float64(13.0),np.float64(5.312457454050374),np.float64(1.0850918992511913),np.float64(3297.0),np.float64(2.2443839346494214),np.float64(33.93),np.float64(-116.93),np.float64(0.956)
np.float64(2.9583),np.float64(50.0),np.float64(5.380281690140845),np.float64(1.1173708920187793),np.float64(579.0),np.float64(2.7183098591549295),np.float64(33.98),np.float64(-118.06),np.float64(1.726)
np.float64(3.52),np.float64(23.0),np.float64(4.698216735253772),np.float64(1.0342935528120714),np.float64(2202.0),np.float64(3.0205761316872426),np.float64(34.14),np.float64(-118.01),np.float64(1.873)
np.float64(2.7188),np.float64(32.0),np.float64(5.511627906976744),np.float64(1.067829457364341),np.float64(1337.0),np.float64(2.5910852713178296),np.float64(34.94),np.float64(-120.42),np.float64(1.337)
np.float64(2.6563),np.float64(26.0),np.float64(4.29489291598023),np.float64(1.1235584843492588),np.float64(1401.0),np.float64(2.3080724876441514),np.float64(37.68),np.float64(-122.08),np.float64(1.841)
np.float64(1.6944),np.float64(11.0),np.float64(21.372093023255815),np.float64(4.627906976744186),np.float64(69.0),np.float64(1.6046511627906976),np.float64(40.19),np.float64(-121.08),np.float64(1.375)
np.float64(3.4138),np.float64(14.0),np.float64(6.01203007518797),np.float64(1.069172932330827),np.float64(1509.0),np.float64(2.269172932330827),np.float64(34.13),np.float64(-117.2),np.float64(1.267)
np.float64(4.2083),np.float64(44.0),np.float64(4.924050632911392),np.float64(1.0),np.float64(733.0),np.float64(3.0928270042194095),np.float64(33.9),np.float64(-118.08),np.float64(1.683)
np.float64(5.8269),np.float64(16.0),np.float64(7.136986301369863),np.float64(1.0),np.float64(1099.0),np.float64(3.7636986301369864),np.float64(38.35),np.float64(-121.95),np.float64(1.502)
np.float64(5.8792),np.float64(17.0),np.float64(5.51031894934334),np.float64(1.0469043151969981),np.float64(1662.0),np.float64(3.1181988742964353),np.float64(37.4),np.float64(-121.97),np.float64(2.555)
np.float64(5.6573),np.float64(19.0),np.float64(6.713080168776371),np.float64(1.1772151898734178),np.float64(891.0),np.float64(3.759493670886076),np.float64(33.87),np.float64(-117.86),np.float64(2.16)
np.float64(3.6875),np.float64(18.0),np.float64(5.1),np.float64(1.2314049586776858),np.float64(2164.0),np.float64(1.7884297520661157),np.float64(34.17),np.float64(-119.23),np.float64(5.00001)
np.float64(3.7583),np.float64(37.0),np.float64(5.6610978520286395),np.float64(1.0596658711217184),np.float64(1056.0),np.float64(2.520286396181384),np.float64(32.63),np.float64(-117.07),np.float64(1.455)
np.float64(2.3068),np.float64(23.0),np.float64(3.485057471264368),np.float64(1.0505747126436782),np.float64(1977.0),np.float64(4.544827586206897),np.float64(33.97),np.float64(-118.16),np.float64(1.578)
np.float64(3.2417),np.float64(28.0),np.float64(4.698717948717949),np.float64(1.1842948717948718),np.float64(1198.0),np.float64(1.919871794871795),np.float64(37.67),np.float64(-122.07),np.float64(2.108)
np.float64(2.8203),np.float64(27.0),np.float64(4.148264984227129),np.float64(1.138801261829653),np.float64(1414.0),np.float64(2.230283911671924),np.float64(37.65),np.float64(-122.09),np.float64(1.952)
np.float64(1.9038),np.float64(35.0),np.float64(4.1550802139037435),np.float64(1.018716577540107),np.float64(1487.0),np.float64(3.9759358288770055),np.float64(34.08),np.float64(-118.19),np.float64(1.395)
np.float64(1.9375),np.float64(40.0),np.float64(4.766891891891892),np.float64(0.9594594594594594),np.float64(609.0),np.float64(2.0574324324324325),np.float64(36.78),np.float64(-119.77),np.float64(0.677)
np.float64(2.1375),np.float64(23.0),np.float64(3.2763713080168775),np.float64(1.0928270042194093),np.float64(1988.0),np.float64(4.194092827004219),np.float64(33.76),np.float64(-117.98),np.float64(1.5)
np.float64(4.1164),np.float64(52.0),np.float64(5.485436893203883),np.float64(1.0097087378640777),np.float64(994.0),np.float64(2.412621359223301),np.float64(37.73),np.float64(-122.16),np.float64(1.982)
np.float64(8.4888),np.float64(30.0),np.float64(5.954113924050633),np.float64(1.134493670886076),np.float64(1292.0),np.float64(2.0443037974683542),np.float64(37.9),np.float64(-122.45),np.float64(5.00001)
np.float64(2.8125),np.float64(52.0),np.float64(5.022988505747127),np.float64(1.206896551724138),np.float64(194.0),np.float64(2.2298850574712645),np.float64(37.79),np.float64(-122.47),np.float64(5.00001)
np.float64(3.5076),np.float64(39.0),np.float64(4.08),np.float64(1.0693333333333332),np.float64(1074.0),np.float64(2.864),np.float64(34.03),np.float64(-118.48),np.float64(3.818)
np.float64(5.5649),np.float64(36.0),np.float64(6.420841683366733),np.float64(1.0781563126252505),np.float64(1499.0),np.float64(3.004008016032064),np.float64(34.27),np.float64(-118.52),np.float64(2.712)
np.float64(4.0362),np.float64(33.0),np.float64(5.100934579439253),np.float64(1.0261682242990655),np.float64(2223.0),np.float64(4.1551401869158875),np.float64(33.78),np.float64(-117.91),np.float64(1.779)
np.float64(2.6635),np.float64(32.0),np.float64(4.155629139072848),np.float64(1.119205298013245),np.float64(782.0),np.float64(2.589403973509934),np.float64(32.79),np.float64(-116.97),np.float64(1.136)
np.float64(4.3899),np.float64(33.0),np.float64(4.8121546961325965),np.float64(1.0349907918968693),np.float64(3150.0),np.float64(5.801104972375691),np.float64(33.72),np.float64(-117.9),np.float64(1.807)
np.float64(1.6548),np.float64(35.0),np.float64(4.879417879417879),np.float64(1.0935550935550935),np.float64(1676.0),np.float64(3.4844074844074844),np.float64(36.75),np.float64(-119.76),np.float64(0.494)
np.float64(4.0345),np.float64(25.0),np.float64(5.466124661246613),np.float64(0.967479674796748),np.float64(1063.0),np.float64(2.8807588075880757),np.float64(33.7),np.float64(-117.99),np.float64(2.294)
np.float64(2.3849),np.float64(11.0),np.float64(4.983529411764706),np.float64(1.0341176470588236),np.float64(2410.0),np.float64(2.835294117647059),np.float64(37.59),np.float64(-120.96),np.float64(1.22)
np.float64(2.4618),np.float64(42.0),np.float64(5.047112462006079),np.float64(1.0455927051671732),np.float64(1346.0),np.float64(2.045592705167173),np.float64(38.54),np.float64(-121.43),np.float64(1.013)
np.float64(2.2206),np.float64(50.0),np.float64(5.350877192982456),np.float64(1.080701754385965),np.float64(661.0),np.float64(2.319298245614035),np.float64(41.73),np.float64(-122.64),np.float64(0.632)
np.float64(3.0972),np.float64(33.0),np.float64(3.7818181818181817),np.float64(1.0272727272727273),np.float64(987.0),np.float64(4.486363636363636),np.float64(34.02),np.float64(-118.18),np.float64(1.25)
np.float64(5.7268),np.float64(23.0),np.float64(6.009009009009009),np.float64(1.027027027027027),np.float64(1560.0),np.float64(2.810810810810811),np.float64(33.99),np.float64(-117.97),np.float64(3.003)
np.float64(2.4643),np.float64(27.0),np.float64(3.8486646884273),np.float64(1.053412462908012),np.float64(776.0),np.float64(2.3026706231454006),np.float64(32.8),np.float64(-117.23),np.float64(2.444)
np.float64(4.0726),np.float64(38.0),np.float64(4.666666666666667),np.float64(0.9760191846522782),np.float64(975.0),np.float64(2.338129496402878),np.float64(37.54),np.float64(-122.31),np.float64(3.854)
np.float64(2.9145),np.float64(21.0),np.float64(6.498771498771498),np.float64(1.1400491400491402),np.float64(1245.0),np.float64(3.058968058968059),np.float64(36.19),np.float64(-119.12),np.float64(1.142)
np.float64(1.1108),np.float64(41.0),np.float64(4.473611111111111),np.float64(1.1847222222222222),np.float64(1959.0),np.float64(2.720833333333333),np.float64(37.82),np.float64(-122.27),np.float64(0.975)
np.float64(4.0208),np.float64(43.0),np.float64(5.949197860962567),np.float64(1.0481283422459893),np.float64(890.0),np.float64(2.379679144385027),np.float64(35.4),np.float64(-118.99),np.float64(0.904)
np.float64(3.7413),np.float64(24.0),np.float64(5.555555555555555),np.float64(1.034608378870674),np.float64(1743.0),np.float64(3.1748633879781423),np.float64(38.03),np.float64(-121.31),np.float64(1.053)
np.float64(4.7755),np.float64(36.0),np.float64(5.956331877729258),np.float64(1.0109170305676856),np.float64(2761.0),np.float64(3.0141921397379914),np.float64(37.66),np.float64(-122.45),np.float64(2.807)
np.float64(3.4861),np.float64(17.0),np.float64(17.3),np.float64(6.5),np.float64(51.0),np.float64(2.55),np.float64(37.94),np.float64(-119.57),np.float64(1.375)
np.float64(4.7266),np.float64(38.0),np.float64(6.104918032786885),np.float64(1.0459016393442624),np.float64(975.0),np.float64(3.19672131147541),np.float64(33.98),np.float64(-118.06),np.float64(1.776)
np.float64(3.3869),np.float64(30.0),np.float64(5.135384615384615),np.float64(0.9661538461538461),np.float64(837.0),np.float64(2.5753846153846154),np.float64(36.55),np.float64(-119.39),np.float64(0.804)
np.float64(5.1857),np.float64(18.0),np.float64(6.274074074074074),np.float64(1.0222222222222221),np.float64(1276.0),np.float64(3.1506172839506172),np.float64(38.8),np.float64(-121.18),np.float64(2.201)
np.float64(5.6205),np.float64(19.0),np.float64(7.232300884955753),np.float64(1.0685840707964602),np.float64(1383.0),np.float64(3.059734513274336),np.float64(37.13),np.float64(-121.67),np.float64(3.008)
np.float64(10.1454),np.float64(26.0),np.float64(8.171220400728597),np.float64(1.0091074681238617),np.float64(1598.0),np.float64(2.9107468123861566),np.float64(33.63),np.float64(-117.9),np.float64(5.00001)
np.float64(1.9719),np.float64(42.0),np.float64(3.6945812807881775),np.float64(1.0328407224958949),np.float64(2588.0),np.float64(4.249589490968801),np.float64(34.03),np.float64(-118.19),np.float64(1.342)
np.float64(9.3464),np.float64(25.0),np.float64(8.362530413625304),np.float64(1.0413625304136254),np.float64(1198.0),np.float64(2.9148418491484187),np.float64(37.28),np.float64(-122.02),np.float64(5.00001)
np.float64(2.0025),np.float64(32.0),np.float64(4.535966149506347),np.float64(1.0578279266572637),np.float64(2639.0),np.float64(3.7221438645980256),np.float64(35.67),np.float64(-119.24),np.float64(0.547)
np.float64(4.9464),np.float64(12.0),np.float64(6.135593220338983),np.float64(0.9943502824858758),np.float64(1013.0),np.float64(2.861581920903955),np.float64(36.3),np.float64(-119.33),np.float64(1.156)
np.float64(2.7989),np.float64(27.0),np.float64(5.9221789883268485),np.float64(1.0992217898832686),np.float64(1583.0),np.float64(3.0797665369649807),np.float64(38.52),np.float64(-121.98),np.float64(1.267)
np.float64(3.6523),np.float64(28.0),np.float64(5.551546391752577),np.float64(1.0618556701030928),np.float64(2086.0),np.float64(2.6881443298969074),np.float64(38.02),np.float64(-122.1),np.float64(1.597)
np.float64(3.4318),np.float64(31.0),np.float64(5.199186991869919),np.float64(1.0406504065040652),np.float64(1164.0),np.float64(2.3658536585365852),np.float64(32.83),np.float64(-117.22),np.float64(2.004)
np.float64(4.4259),np.float64(6.0),np.float64(4.114130434782608),np.float64(1.0570652173913044),np.float64(1531.0),np.float64(2.0801630434782608),np.float64(37.56),np.float64(-122.01),np.float64(1.58)
np.float64(7.2905),np.float64(23.0),np.float64(6.401663695781343),np.float64(1.0314913844325608),np.float64(3895.0),np.float64(2.3143196672608437),np.float64(37.89),np.float64(-122.47),np.float64(5.00001)
np.float64(8.2335),np.float64(37.0),np.float64(5.098468271334792),np.float64(0.949671772428884),np.float64(846.0),np.float64(1.851203501094092),np.float64(34.11),np.float64(-118.33),np.float64(4.302)
np.float64(2.2989),np.float64(26.0),np.float64(4.48411214953271),np.float64(1.1682242990654206),np.float64(2654.0),np.float64(4.960747663551402),np.float64(33.7),np.float64(-116.2),np.float64(0.606)
np.float64(3.8625),np.float64(31.0),np.float64(4.921686746987952),np.float64(1.1144578313253013),np.float64(939.0),np.float64(2.8283132530120483),np.float64(37.06),np.float64(-122.07),np.float64(2.323)
np.float64(1.9937),np.float64(33.0),np.float64(3.8792372881355934),np.float64(1.0296610169491525),np.float64(1625.0),np.float64(3.4427966101694913),np.float64(34.06),np.float64(-117.76),np.float64(1.036)
np.float64(5.0764),np.float64(24.0),np.float64(5.4550691244239635),np.float64(1.1002304147465438),np.float64(2600.0),np.float64(2.9953917050691246),np.float64(33.82),np.float64(-117.94),np.float64(2.286)
np.float64(3.0441),np.float64(20.0),np.float64(4.4932502596054),np.float64(1.0768431983385254),np.float64(2296.0),np.float64(2.3842159916926273),np.float64(34.09),np.float64(-117.91),np.float64(1.854)
np.float64(5.27),np.float64(26.0),np.float64(5.721100917431193),np.float64(0.9688073394495413),np.float64(1546.0),np.float64(2.836697247706422),np.float64(34.12),np.float64(-117.82),np.float64(2.094)
