MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedianHouseValue
np.float64(3.9688),np.float64(41.0),np.float64(5.259786476868327),np.float64(0.9715302491103203),np.float64(916.0),np.float64(3.2597864768683276),np.float64(33.98),np.float64(-118.07),np.float64(1.698)
np.float64(2.7344),np.float64(18.0),np.float64(7.085158150851582),np.float64(1.6131386861313868),np.float64(999.0),np.float64(2.4306569343065694),np.float64(38.42),np.float64(-120.42),np.float64(0.919)
np.float64(5.6013),np.float64(35.0),np.float64(5.771428571428571),np.float64(0.9938775510204082),np.float64(1439.0),np.float64(2.936734693877551),np.float64(33.83),np.float64(-118.36),np.float64(3.502)
np.float64(6.3767),np.float64(24.0),np.float64(6.37987012987013),np.float64(1.073051948051948),np.float64(1831.0),np.float64(2.9724025974025974),np.float64(33.67),np.float64(-117.81),np.float64(2.69)
np.float64(2.7072),np.float64(37.0),np.float64(9.212209302325581),np.float64(2.0901162790697674),np.float64(777.0),np.float64(2.258720930232558),np.float64(38.49),np.float64(-122.94),np.float64(1.171)
np.float64(3.2011),np.float64(17.0),np.float64(3.5233918128654973),np.float64(1.0146198830409356),np.float64(736.0),np.float64(2.152046783625731),np.float64(33.93),np.float64(-118.11),np.float64(1.625)
np.float64(2.4555),np.float64(15.0),np.float64(6.177033492822966),np.float64(1.291866028708134),np.float64(1697.0),np.float64(2.7065390749601277),np.float64(39.9),np.float64(-122.57),np.float64(0.556)
np.float64(2.1587),np.float64(43.0),np.float64(4.319648093841642),np.float64(1.0879765395894427),np.float64(1231.0),np.float64(3.6099706744868034),np.float64(37.73),np.float64(-122.17),np.float64(0.865)
np.float64(2.7864),np.float64(22.0),np.float64(4.859832635983263),np.float64(1.5209205020920502),np.float64(1301.0),np.float64(2.721757322175732),np.float64(34.38),np.float64(-119.53),np.float64(3.0)
np.float64(6.0661),np.float64(24.0),np.float64(6.329787234042553),np.float64(0.9817629179331308),np.float64(2194.0),np.float64(3.3343465045592704),np.float64(34.27),np.float64(-119.17),np.float64(2.348)
