MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedianHouseValue
np.float64(4.5909),np.float64(16.0),np.float64(5.475877192982456),np.float64(1.0964912280701755),np.float64(1357.0),np.float64(2.9758771929824563),np.float64(33.63),np.float64(-117.71),np.float64(2.418)
np.float64(3.6548),np.float64(29.0),np.float64(4.6434540389972145),np.float64(0.9916434540389972),np.float64(2919.0),np.float64(4.0654596100278555),np.float64(34.3),np.float64(-118.42),np.float64(1.803)
np.float64(2.0),np.float64(44.0),np.float64(5.053333333333334),np.float64(1.0444444444444445),np.float64(747.0),np.float64(3.32),np.float64(33.92),np.float64(-118.25),np.float64(0.926)
np.float64(6.0433),np.float64(20.0),np.float64(6.470756062767475),np.float64(1.0099857346647647),np.float64(1812.0),np.float64(2.5848787446504993),np.float64(38.07),np.float64(-122.41),np.float64(4.359)
np.float64(6.617),np.float64(14.0),np.float64(7.108481262327416),np.float64(0.9980276134122288),np.float64(3097.0),np.float64(3.054240631163708),np.float64(33.08),np.float64(-117.25),np.float64(2.852)
np.float64(0.971),np.float64(12.0),np.float64(3.49937106918239),np.float64(1.3547169811320754),np.float64(1968.0),np.float64(2.4754716981132074),np.float64(33.75),np.float64(-117.87),np.float64(1.025)
np.float64(2.5129),np.float64(19.0),np.float64(5.186206896551724),np.float64(1.032183908045977),np.float64(1469.0),np.float64(3.3770114942528737),np.float64(37.38),np.float64(-120.64),np.float64(0.846)
np.float64(3.8505),np.float64(10.0),np.float64(5.412126068376068),np.float64(1.0456730769230769),np.float64(9716.0),np.float64(2.59508547008547),np.float64(34.13),np.float64(-117.59),np.float64(1.696)
np.float64(3.5532),np.float64(36.0),np.float64(4.53494623655914),np.float64(1.0),np.float64(950.0),np.float64(2.553763440860215),np.float64(37.68),np.float64(-121.77),np.float64(1.584)
np.float64(4.1806),np.float64(28.0),np.float64(6.317738791423002),np.float64(1.0389863547758285),np.float64(1334.0),np.float64(2.6003898635477585),np.float64(32.83),np.float64(-117.21),np.float64(1.996)
np.float64(1.2542),np.float64(42.0),np.float64(3.2535714285714286),np.float64(1.1357142857142857),np.float64(1372.0),np.float64(2.45),np.float64(38.58),np.float64(-121.51),np.float64(0.76)
np.float64(3.5156),np.float64(52.0),np.float64(4.4961832061068705),np.float64(1.0076335877862594),np.float64(288.0),np.float64(2.198473282442748),np.float64(37.87),np.float64(-122.28),np.float64(2.0)
np.float64(5.9582),np.float64(18.0),np.float64(7.485477178423237),np.float64(1.1784232365145229),np.float64(600.0),np.float64(2.4896265560165975),np.float64(37.94),np.float64(-122.52),np.float64(5.00001)
np.float64(3.6667),np.float64(31.0),np.float64(5.581056466302368),np.float64(1.04735883424408),np.float64(1476.0),np.float64(2.6885245901639343),np.float64(32.84),np.float64(-117.18),np.float64(1.759)
np.float64(3.8846),np.float64(52.0),np.float64(5.305835010060362),np.float64(1.0845070422535212),np.float64(1159.0),np.float64(2.3319919517102616),np.float64(37.74),np.float64(-122.43),np.float64(3.331)
np.float64(5.6494),np.float64(34.0),np.float64(6.131645569620253),np.float64(0.9367088607594937),np.float64(1010.0),np.float64(2.5569620253164556),np.float64(37.28),np.float64(-121.93),np.float64(3.762)
np.float64(3.725),np.float64(30.0),np.float64(3.3307543520309477),np.float64(0.9477756286266924),np.float64(1057.0),np.float64(2.044487427466151),np.float64(37.39),np.float64(-122.09),np.float64(2.613)
np.float64(2.6324),np.float64(35.0),np.float64(4.173745173745174),np.float64(1.027027027027027),np.float64(691.0),np.float64(2.667953667953668),np.float64(32.79),np.float64(-116.96),np.float64(1.337)
np.float64(4.1029),np.float64(52.0),np.float64(5.632022471910112),np.float64(1.0084269662921348),np.float64(847.0),np.float64(2.3792134831460676),np.float64(37.79),np.float64(-122.46),np.float64(5.00001)
np.float64(3.5982),np.float64(15.0),np.float64(4.462562396006655),np.float64(0.9966722129783694),np.float64(1520.0),np.float64(2.529118136439268),np.float64(38.01),np.float64(-121.35),np.float64(0.944)
