MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedianHouseValue
np.float64(1.6571),np.float64(34.0),np.float64(4.454976303317536),np.float64(1.0876777251184835),np.float64(1358.0),np.float64(3.2180094786729856),np.float64(37.94),np.float64(-122.35),np.float64(1.052)
np.float64(3.6301),np.float64(7.0),np.float64(5.766690091356289),np.float64(1.0702740688685874),np.float64(4399.0),np.float64(3.0913562895291635),np.float64(33.25),np.float64(-117.32),np.float64(1.709)
np.float64(6.2516),np.float64(9.0),np.float64(6.972375690607735),np.float64(0.9723756906077348),np.float64(1139.0),np.float64(3.1464088397790055),np.float64(34.15),np.float64(-117.22),np.float64(1.593)
np.float64(2.0077),np.float64(20.0),np.float64(4.305194805194805),np.float64(1.0995670995670996),np.float64(1452.0),np.float64(3.142857142857143),np.float64(32.75),np.float64(-117.08),np.float64(1.183)
np.float64(2.3567),np.float64(26.0),np.float64(2.2928286852589643),np.float64(1.1195219123505975),np.float64(2660.0),np.float64(2.649402390438247),np.float64(34.07),np.float64(-118.29),np.float64(2.531)
np.float64(2.5656),np.float64(21.0),np.float64(4.375757575757576),np.float64(1.0787878787878789),np.float64(770.0),np.float64(4.666666666666667),np.float64(33.88),np.float64(-117.52),np.float64(1.025)
np.float64(6.5745),np.float64(35.0),np.float64(5.698717948717949),np.float64(1.0576923076923077),np.float64(732.0),np.float64(2.3461538461538463),np.float64(33.89),np.float64(-118.38),np.float64(3.793)
np.float64(6.1168),np.float64(27.0),np.float64(5.712837837837838),np.float64(0.9763513513513513),np.float64(807.0),np.float64(2.7263513513513513),np.float64(37.97),np.float64(-121.97),np.float64(2.105)
np.float64(0.4999),np.float64(16.0),np.float64(21.63157894736842),np.float64(6.0),np.float64(26.0),np.float64(1.368421052631579),np.float64(39.42),np.float64(-122.89),np.float64(0.735)
np.float64(2.3804),np.float64(37.0),np.float64(6.238970588235294),np.float64(1.2279411764705883),np.float64(740.0),np.float64(2.7205882352941178),np.float64(34.64),np.float64(-120.46),np.float64(1.48)
np.float64(3.0298),np.float64(52.0),np.float64(5.183673469387755),np.float64(1.0521541950113378),np.float64(1073.0),np.float64(2.433106575963719),np.float64(37.8),np.float64(-122.22),np.float64(1.996)
np.float64(2.1602),np.float64(13.0),np.float64(3.2527985074626864),np.float64(1.055037313432836),np.float64(3749.0),np.float64(3.4972014925373136),np.float64(34.14),np.float64(-118.25),np.float64(2.219)
np.float64(5.777),np.float64(23.0),np.float64(6.552301255230126),np.float64(0.9811715481171548),np.float64(1646.0),np.float64(3.4435146443514646),np.float64(33.85),np.float64(-118.04),np.float64(3.159)
np.float64(5.552),np.float64(7.0),np.float64(8.329787234042554),np.float64(1.1063829787234043),np.float64(809.0),np.float64(2.868794326241135),np.float64(33.17),np.float64(-117.31),np.float64(2.839)
np.float64(1.875),np.float64(15.0),np.float64(4.294117647058823),np.float64(1.1490196078431372),np.float64(1570.0),np.float64(3.0784313725490198),np.float64(36.61),np.float64(-121.84),np.float64(1.223)
np.float64(5.5454),np.float64(10.0),np.float64(6.274220032840723),np.float64(1.0361247947454844),np.float64(1605.0),np.float64(2.6354679802955663),np.float64(32.8),np.float64(-117.18),np.float64(2.171)
np.float64(3.9868),np.float64(17.0),np.float64(3.8505338078291813),np.float64(1.0355871886120998),np.float64(598.0),np.float64(2.1281138790035588),np.float64(33.87),np.float64(-118.36),np.float64(2.819)
