MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedianHouseValue
np.float64(4.2708),np.float64(45.0),np.float64(5.121387283236994),np.float64(0.953757225433526),np.float64(492.0),np.float64(2.8439306358381504),np.float64(37.48),np.float64(-122.19),np.float64(2.67)
np.float64(4.7426),np.float64(19.0),np.float64(5.871428571428571),np.float64(1.022857142857143),np.float64(1064.0),np.float64(3.04),np.float64(37.93),np.float64(-121.66),np.float64(2.631)
np.float64(2.3912),np.float64(34.0),np.float64(5.652960526315789),np.float64(1.144736842105263),np.float64(1783.0),np.float64(2.932565789473684),np.float64(35.16),np.float64(-119.45),np.float64(0.529)
np.float64(1.7284),np.float64(29.0),np.float64(4.362),np.float64(1.053),np.float64(2053.0),np.float64(2.053),np.float64(39.75),np.float64(-121.84),np.float64(0.745)
np.float64(2.6531),np.float64(29.0),np.float64(5.1274298056155505),np.float64(1.2138228941684666),np.float64(1617.0),np.float64(3.4924406047516197),np.float64(34.96),np.float64(-120.44),np.float64(1.083)
np.float64(3.4018),np.float64(16.0),np.float64(4.619217081850533),np.float64(1.112099644128114),np.float64(1403.0),np.float64(2.49644128113879),np.float64(34.26),np.float64(-119.22),np.float64(1.452)
np.float64(5.2442),np.float64(26.0),np.float64(6.367441860465116),np.float64(0.9953488372093023),np.float64(1316.0),np.float64(3.0604651162790697),np.float64(37.97),np.float64(-121.98),np.float64(2.132)
np.float64(3.05),np.float64(34.0),np.float64(4.499207606973059),np.float64(1.0443740095087164),np.float64(1822.0),np.float64(2.8874801901743266),np.float64(34.09),np.float64(-117.64),np.float64(1.213)
np.float64(4.0341),np.float64(33.0),np.float64(5.565040650406504),np.float64(1.1382113821138211),np.float64(758.0),np.float64(3.0813008130081303),np.float64(38.24),np.float64(-122.62),np.float64(1.565)
np.float64(3.1071),np.float64(40.0),np.float64(3.951923076923077),np.float64(1.1322115384615385),np.float64(780.0),np.float64(1.875),np.float64(33.71),np.float64(-118.29),np.float64(4.643)
np.float64(1.9189),np.float64(28.0),np.float64(3.097560975609756),np.float64(1.0540069686411149),np.float64(2184.0),np.float64(3.8048780487804876),np.float64(34.06),np.float64(-118.06),np.float64(1.659)
np.float64(4.6394),np.float64(13.0),np.float64(18.977064220183486),np.float64(3.6513761467889907),np.float64(573.0),np.float64(2.628440366972477),np.float64(34.24),np.float64(-116.88),np.float64(2.265)
np.float64(2.3864),np.float64(42.0),np.float64(5.1395348837209305),np.float64(1.1434108527131783),np.float64(918.0),np.float64(3.558139534883721),np.float64(33.96),np.float64(-118.25),np.float64(0.988)
