MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedianHouseValue
np.float64(2.4792),np.float64(24.0),np.float64(3.4547038327526134),np.float64(1.1341463414634145),np.float64(2251.0),np.float64(3.921602787456446),np.float64(34.18),np.float64(-118.38),np.float64(2.0)
np.float64(3.9543),np.float64(35.0),np.float64(5.134122287968442),np.float64(0.9506903353057199),np.float64(1305.0),np.float64(2.57396449704142),np.float64(33.94),np.float64(-118.0),np.float64(2.144)
np.float64(3.375),np.float64(8.0),np.float64(5.671232876712328),np.float64(1.1506849315068493),np.float64(413.0),np.float64(2.828767123287671),np.float64(37.1),np.float64(-119.85),np.float64(0.807)
np.float64(2.9571),np.float64(28.0),np.float64(5.215759849906191),np.float64(0.9568480300187617),np.float64(1638.0),np.float64(3.073170731707317),np.float64(38.48),np.float64(-121.45),np.float64(1.031)
np.float64(3.6786),np.float64(27.0),np.float64(5.929078014184397),np.float64(1.0602836879432624),np.float64(757.0),np.float64(2.6843971631205674),np.float64(38.64),np.float64(-121.37),np.float64(1.597)
np.float64(2.1094),np.float64(10.0),np.float64(5.817767653758542),np.float64(1.14123006833713),np.float64(922.0),np.float64(2.1002277904328017),np.float64(37.96),np.float64(-120.39),np.float64(1.64)
np.float64(3.5882),np.float64(21.0),np.float64(13.568627450980392),np.float64(2.788235294117647),np.float64(658.0),np.float64(2.5803921568627453),np.float64(33.71),np.float64(-116.68),np.float64(1.611)
np.float64(3.1538),np.float64(39.0),np.float64(5.072463768115942),np.float64(1.0483091787439613),np.float64(895.0),np.float64(4.323671497584541),np.float64(33.92),np.float64(-118.2),np.float64(1.556)
np.float64(4.475),np.float64(36.0),np.float64(5.45273631840796),np.float64(1.0149253731343284),np.float64(569.0),np.float64(2.8308457711442787),np.float64(33.91),np.float64(-118.14),np.float64(1.823)
np.float64(9.8091),np.float64(4.0),np.float64(6.760869565217392),np.float64(1.108695652173913),np.float64(128.0),np.float64(2.782608695652174),np.float64(33.75),np.float64(-118.41),np.float64(5.00001)
np.float64(3.3235),np.float64(46.0),np.float64(5.011037527593819),np.float64(0.9426048565121413),np.float64(1097.0),np.float64(2.4216335540838854),np.float64(37.97),np.float64(-121.32),np.float64(0.878)
np.float64(3.875),np.float64(19.0),np.float64(4.951754385964913),np.float64(1.131578947368421),np.float64(900.0),np.float64(3.9473684210526314),np.float64(34.02),np.float64(-117.95),np.float64(1.356)
np.float64(2.5781),np.float64(47.0),np.float64(5.170731707317073),np.float64(1.0682926829268293),np.float64(496.0),np.float64(2.419512195121951),np.float64(37.97),np.float64(-120.38),np.float64(1.048)
np.float64(4.3409),np.float64(11.0),np.float64(5.26392572944297),np.float64(1.106100795755968),np.float64(1508.0),np.float64(2.0),np.float64(33.62),np.float64(-118.02),np.float64(2.714)
