MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedianHouseValue
np.float64(5.9522),np.float64(26.0),np.float64(6.196521739130435),np.float64(1.0069565217391305),np.float64(1479.0),np.float64(2.5721739130434784),np.float64(34.5),np.float64(-119.75),np.float64(4.384)
np.float64(6.3525),np.float64(18.0),np.float64(6.332386363636363),np.float64(0.9829545454545454),np.float64(1088.0),np.float64(3.090909090909091),np.float64(33.04),np.float64(-117.26),np.float64(2.783)
np.float64(5.0043),np.float64(36.0),np.float64(5.907651715039578),np.float64(1.0316622691292876),np.float64(1203.0),np.float64(3.174142480211082),np.float64(37.7),np.float64(-122.16),np.float64(1.904)
np.float64(2.7348),np.float64(52.0),np.float64(4.071278825995807),np.float64(0.9979035639412998),np.float64(1375.0),np.float64(2.8825995807127884),np.float64(34.12),np.float64(-118.26),np.float64(2.091)
np.float64(4.7328),np.float64(45.0),np.float64(5.573913043478261),np.float64(1.0847826086956522),np.float64(1056.0),np.float64(2.2956521739130435),np.float64(37.78),np.float64(-122.51),np.float64(3.511)
np.float64(5.5208),np.float64(33.0),np.float64(6.833723653395785),np.float64(1.0281030444964872),np.float64(1085.0),np.float64(2.540983606557377),np.float64(38.51),np.float64(-121.51),np.float64(1.713)
np.float64(2.2917),np.float64(37.0),np.float64(4.921875),np.float64(1.11875),np.float64(933.0),np.float64(2.915625),np.float64(37.76),np.float64(-122.18),np.float64(1.07)
np.float64(4.0658),np.float64(25.0),np.float64(5.788643533123029),np.float64(1.0157728706624605),np.float64(1815.0),np.float64(2.862776025236593),np.float64(34.06),np.float64(-117.15),np.float64(1.274)
np.float64(12.0088),np.float64(16.0),np.float64(6.006711409395973),np.float64(1.2147651006711409),np.float64(237.0),np.float64(1.5906040268456376),np.float64(33.96),np.float64(-118.48),np.float64(5.00001)
np.float64(4.5562),np.float64(17.0),np.float64(6.237218813905931),np.float64(0.983640081799591),np.float64(1490.0),np.float64(3.0470347648261757),np.float64(38.69),np.float64(-121.25),np.float64(1.345)
np.float64(3.9615),np.float64(36.0),np.float64(5.964601769911504),np.float64(1.0044247787610618),np.float64(1192.0),np.float64(2.6371681415929205),np.float64(34.7),np.float64(-118.15),np.float64(1.163)
np.float64(0.8571),np.float64(21.0),np.float64(1.6296296296296295),np.float64(1.2222222222222223),np.float64(64.0),np.float64(2.3703703703703702),np.float64(32.79),np.float64(-114.65),np.float64(0.25)
np.float64(3.9338),np.float64(17.0),np.float64(5.602179836512262),np.float64(0.997275204359673),np.float64(1259.0),np.float64(3.430517711171662),np.float64(36.8),np.float64(-119.71),np.float64(0.847)
np.float64(0.536),np.float64(46.0),np.float64(9.0),np.float64(1.5),np.float64(20.0),np.float64(3.3333333333333335),np.float64(34.16),np.float64(-118.42),np.float64(3.75)
np.float64(6.4666),np.float64(37.0),np.float64(6.608910891089109),np.float64(1.0132013201320131),np.float64(1602.0),np.float64(2.6435643564356437),np.float64(37.88),np.float64(-122.11),np.float64(3.482)
np.float64(4.375),np.float64(33.0),np.float64(5.439897698209719),np.float64(1.0588235294117647),np.float64(1056.0),np.float64(2.70076726342711),np.float64(34.18),np.float64(-118.44),np.float64(2.861)
np.float64(5.368),np.float64(18.0),np.float64(7.858356940509915),np.float64(1.3937677053824362),np.float64(1283.0),np.float64(3.634560906515581),np.float64(36.89),np.float64(-121.89),np.float64(3.52)
np.float64(2.1829),np.float64(15.0),np.float64(5.122641509433962),np.float64(1.0735849056603775),np.float64(1532.0),np.float64(2.890566037735849),np.float64(41.74),np.float64(-124.16),np.float64(0.695)
np.float64(1.5),np.float64(45.0),np.float64(2.7683397683397684),np.float64(1.2104247104247103),np.float64(735.0),np.float64(1.4189189189189189),np.float64(33.77),np.float64(-118.18),np.float64(1.625)
np.float64(1.9875),np.float64(30.0),np.float64(5.005763688760807),np.float64(1.0979827089337175),np.float64(1177.0),np.float64(3.3919308357348705),np.float64(37.96),np.float64(-121.22),np.float64(0.564)
np.float64(6.2007),np.float64(4.0),np.float64(5.769570011025358),np.float64(1.2227122381477398),np.float64(1690.0),np.float64(1.8632855567805953),np.float64(37.53),np.float64(-122.26),np.float64(3.118)
np.float64(7.1035),np.float64(52.0),np.float64(7.269565217391304),np.float64(1.0434782608695652),np.float64(832.0),np.float64(2.411594202898551),np.float64(38.55),np.float64(-121.48),np.float64(2.287)
np.float64(3.6849),np.float64(33.0),np.float64(5.529610829103215),np.float64(1.0846023688663282),np.float64(1704.0),np.float64(2.883248730964467),np.float64(33.79),np.float64(-117.97),np.float64(2.114)
np.float64(3.0542),np.float64(37.0),np.float64(5.094076655052265),np.float64(0.8954703832752613),np.float64(849.0),np.float64(2.9581881533101044),np.float64(33.95),np.float64(-117.41),np.float64(1.239)
np.float64(4.8304),np.float64(35.0),np.float64(6.961956521739131),np.float64(1.190217391304348),np.float64(710.0),np.float64(3.858695652173913),np.float64(33.92),np.float64(-118.32),np.float64(1.528)
np.float64(4.1366),np.float64(10.0),np.float64(4.38388625592417),np.float64(1.132701421800948),np.float64(1581.0),np.float64(2.4976303317535544),np.float64(33.71),np.float64(-117.93),np.float64(1.588)
np.float64(1.625),np.float64(29.0),np.float64(6.65),np.float64(1.05),np.float64(136.0),np.float64(3.4),np.float64(33.94),np.float64(-117.56),np.float64(1.643)
np.float64(1.808),np.float64(52.0),np.float64(4.7808564231738035),np.float64(1.0604534005037782),np.float64(1102.0),np.float64(2.7758186397984885),np.float64(37.85),np.float64(-122.28),np.float64(1.055)
np.float64(2.794),np.float64(15.0),np.float64(4.855824682814302),np.float64(1.0369088811995386),np.float64(1933.0),np.float64(2.229527104959631),np.float64(35.25),np.float64(-120.69),np.float64(2.625)
np.float64(5.5224),np.float64(23.0),np.float64(5.3669950738916254),np.float64(1.041871921182266),np.float64(1338.0),np.float64(3.2955665024630543),np.float64(34.19),np.float64(-118.87),np.float64(2.407)
np.float64(2.7545),np.float64(24.0),np.float64(3.5313351498637604),np.float64(1.0463215258855585),np.float64(850.0),np.float64(2.316076294277929),np.float64(33.43),np.float64(-117.62),np.float64(2.313)
np.float64(6.0622),np.float64(10.0),np.float64(10.095238095238095),np.float64(1.8095238095238095),np.float64(78.0),np.float64(3.7142857142857144),np.float64(37.18),np.float64(-122.03),np.float64(3.9)
np.float64(2.6071),np.float64(26.0),np.float64(5.606694560669456),np.float64(1.0669456066945606),np.float64(662.0),np.float64(2.7698744769874475),np.float64(39.44),np.float64(-121.53),np.float64(0.571)
