MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedianHouseValue
np.float64(4.6477),np.float64(38.0),np.float64(5.03728813559322),np.float64(0.911864406779661),np.float64(745.0),np.float64(2.5254237288135593),np.float64(32.64),np.float64(-117.07),np.float64(1.504)
np.float64(3.0),np.float64(39.0),np.float64(4.628930817610063),np.float64(0.949685534591195),np.float64(1036.0),np.float64(3.257861635220126),np.float64(33.92),np.float64(-118.28),np.float64(1.1)
np.float64(2.1875),np.float64(39.0),np.float64(5.217391304347826),np.float64(1.0499194847020934),np.float64(1467.0),np.float64(2.36231884057971),np.float64(40.42),np.float64(-120.65),np.float64(0.643)
np.float64(4.3523),np.float64(5.0),np.float64(6.425531914893617),np.float64(1.0212765957446808),np.float64(376.0),np.float64(2.6666666666666665),np.float64(39.25),np.float64(-121.2),np.float64(1.882)
np.float64(2.6623),np.float64(32.0),np.float64(5.116083916083916),np.float64(1.1146853146853146),np.float64(1452.0),np.float64(2.0307692307692307),np.float64(38.63),np.float64(-121.37),np.float64(1.207)
np.float64(5.7309),np.float64(36.0),np.float64(4.938053097345133),np.float64(0.8805309734513275),np.float64(662.0),np.float64(2.9292035398230087),np.float64(37.64),np.float64(-122.08),np.float64(1.779)
np.float64(2.0625),np.float64(44.0),np.float64(4.056022408963585),np.float64(1.1008403361344539),np.float64(1066.0),np.float64(2.9859943977591037),np.float64(37.01),np.float64(-121.57),np.float64(1.703)
np.float64(2.9861),np.float64(33.0),np.float64(4.198858230256898),np.float64(1.0532825880114176),np.float64(2239.0),np.float64(2.1303520456707896),np.float64(37.7),np.float64(-122.09),np.float64(2.082)
np.float64(2.3241),np.float64(42.0),np.float64(5.1114369501466275),np.float64(1.1378299120234605),np.float64(889.0),np.float64(2.6070381231671553),np.float64(38.11),np.float64(-122.24),np.float64(0.992)
np.float64(4.7917),np.float64(36.0),np.float64(5.970223325062035),np.float64(1.0818858560794045),np.float64(1189.0),np.float64(2.9503722084367245),np.float64(37.57),np.float64(-122.3),np.float64(2.761)
np.float64(3.0212),np.float64(14.0),np.float64(5.613680154142582),np.float64(1.2003853564547207),np.float64(2578.0),np.float64(2.483622350674374),np.float64(38.7),np.float64(-121.28),np.float64(1.129)
