MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedianHouseValue
np.float64(4.1812),np.float64(52.0),np.float64(5.701388888888889),np.float64(0.9965277777777778),np.float64(692.0),np.float64(2.4027777777777777),np.float64(33.73),np.float64(-118.31),np.float64(3.215)
np.float64(4.4474),np.float64(25.0),np.float64(6.342776203966006),np.float64(1.0226628895184136),np.float64(928.0),np.float64(2.6288951841359776),np.float64(38.03),np.float64(-122.26),np.float64(2.037)
np.float64(2.6591),np.float64(24.0),np.float64(5.244299674267101),np.float64(1.0),np.float64(748.0),np.float64(2.436482084690554),np.float64(40.57),np.float64(-122.34),np.float64(0.828)
np.float64(4.0062),np.float64(12.0),np.float64(5.693965517241379),np.float64(1.1551724137931034),np.float64(661.0),np.float64(2.8491379310344827),np.float64(39.22),np.float64(-120.94),np.float64(1.538)
np.float64(4.0965),np.float64(23.0),np.float64(4.596984924623116),np.float64(1.4301507537688443),np.float64(1624.0),np.float64(1.6321608040201006),np.float64(34.14),np.float64(-118.32),np.float64(5.00001)
np.float64(4.6591),np.float64(29.0),np.float64(5.635593220338983),np.float64(1.2415254237288136),np.float64(613.0),np.float64(2.597457627118644),np.float64(33.66),np.float64(-117.99),np.float64(3.531)
np.float64(3.0865),np.float64(52.0),np.float64(4.893854748603352),np.float64(0.9497206703910615),np.float64(426.0),np.float64(2.3798882681564244),np.float64(37.74),np.float64(-121.43),np.float64(1.198)
np.float64(2.1985),np.float64(36.0),np.float64(3.5403348554033487),np.float64(1.1095890410958904),np.float64(2635.0),np.float64(4.010654490106545),np.float64(33.8),np.float64(-118.19),np.float64(1.418)
np.float64(3.5606),np.float64(30.0),np.float64(4.851694915254237),np.float64(1.1080508474576272),np.float64(1272.0),np.float64(2.694915254237288),np.float64(32.84),np.float64(-117.18),np.float64(1.651)
np.float64(5.2551),np.float64(13.0),np.float64(6.071428571428571),np.float64(0.9894179894179894),np.float64(1284.0),np.float64(3.3968253968253967),np.float64(34.04),np.float64(-117.67),np.float64(1.943)
