MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedianHouseValue
np.float64(2.1856),np.float64(41.0),np.float64(3.7189873417721517),np.float64(1.0658227848101265),np.float64(803.0),np.float64(2.0329113924050635),np.float64(32.76),np.float64(-117.12),np.float64(1.205)
np.float64(5.3344),np.float64(12.0),np.float64(7.594235033259423),np.float64(1.2172949002217295),np.float64(1357.0),np.float64(3.008869179600887),np.float64(38.58),np.float64(-121.0),np.float64(2.175)
np.float64(4.2564),np.float64(25.0),np.float64(5.592105263157895),np.float64(1.0855263157894737),np.float64(4528.0),np.float64(4.2556390977443606),np.float64(33.79),np.float64(-117.81),np.float64(2.046)
np.float64(3.3636),np.float64(43.0),np.float64(4.397394136807818),np.float64(0.9348534201954397),np.float64(811.0),np.float64(2.6416938110749184),np.float64(34.03),np.float64(-118.37),np.float64(1.409)
np.float64(5.0747),np.float64(35.0),np.float64(4.944723618090452),np.float64(0.8994974874371859),np.float64(661.0),np.float64(3.321608040201005),np.float64(33.84),np.float64(-117.98),np.float64(1.896)
np.float64(4.0139),np.float64(26.0),np.float64(5.779151943462898),np.float64(1.0512367491166077),np.float64(2259.0),np.float64(3.991166077738516),np.float64(34.09),np.float64(-117.62),np.float64(1.32)
np.float64(2.9625),np.float64(29.0),np.float64(5.190207156308851),np.float64(1.0376647834274952),np.float64(1381.0),np.float64(2.6007532956685497),np.float64(38.42),np.float64(-122.84),np.float64(2.373)
np.float64(5.2971),np.float64(34.0),np.float64(6.386430678466077),np.float64(1.047197640117994),np.float64(776.0),np.float64(2.2890855457227137),np.float64(37.37),np.float64(-122.09),np.float64(4.421)
np.float64(4.375),np.float64(16.0),np.float64(4.909090909090909),np.float64(0.8181818181818182),np.float64(54.0),np.float64(2.4545454545454546),np.float64(37.91),np.float64(-120.32),np.float64(1.0)
np.float64(5.4446),np.float64(37.0),np.float64(6.176691729323308),np.float64(0.9849624060150376),np.float64(620.0),np.float64(2.330827067669173),np.float64(37.81),np.float64(-122.18),np.float64(3.367)
np.float64(4.8603),np.float64(16.0),np.float64(6.790155440414508),np.float64(1.077720207253886),np.float64(1247.0),np.float64(3.2305699481865284),np.float64(38.24),np.float64(-122.6),np.float64(1.984)
np.float64(2.6058),np.float64(40.0),np.float64(3.8857142857142857),np.float64(0.9142857142857143),np.float64(785.0),np.float64(4.485714285714286),np.float64(37.39),np.float64(-120.71),np.float64(0.727)
np.float64(8.0784),np.float64(52.0),np.float64(6.882191780821918),np.float64(0.9753424657534246),np.float64(978.0),np.float64(2.6794520547945204),np.float64(33.77),np.float64(-117.87),np.float64(3.203)
np.float64(2.2847),np.float64(26.0),np.float64(6.001420454545454),np.float64(1.2585227272727273),np.float64(1795.0),np.float64(2.549715909090909),np.float64(35.28),np.float64(-120.69),np.float64(2.47)
np.float64(4.8),np.float64(31.0),np.float64(5.546875),np.float64(0.9732142857142857),np.float64(942.0),np.float64(2.1026785714285716),np.float64(32.78),np.float64(-117.06),np.float64(2.208)
np.float64(4.35),np.float64(35.0),np.float64(4.714859437751004),np.float64(1.0662650602409638),np.float64(1475.0),np.float64(2.961847389558233),np.float64(37.4),np.float64(-122.02),np.float64(2.61)
np.float64(4.6771),np.float64(35.0),np.float64(6.264845605700713),np.float64(1.0724465558194773),np.float64(2892.0),np.float64(3.4346793349168645),np.float64(37.67),np.float64(-122.49),np.float64(2.664)
