MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedianHouseValue
np.float64(8.72),np.float64(44.0),np.float64(6.163179916317992),np.float64(1.0460251046025104),np.float64(668.0),np.float64(2.794979079497908),np.float64(34.2),np.float64(-118.18),np.float64(4.159)
np.float64(3.0404),np.float64(25.0),np.float64(4.2631578947368425),np.float64(1.0701754385964912),np.float64(1021.0),np.float64(2.5588972431077694),np.float64(38.29),np.float64(-122.3),np.float64(1.421)
np.float64(2.7054),np.float64(39.0),np.float64(2.302919708029197),np.float64(1.0875912408759123),np.float64(744.0),np.float64(2.7153284671532845),np.float64(34.1),np.float64(-118.29),np.float64(1.625)
np.float64(3.7381),np.float64(29.0),np.float64(3.993924665856622),np.float64(1.071688942891859),np.float64(1523.0),np.float64(1.850546780072904),np.float64(34.03),np.float64(-118.47),np.float64(2.906)
np.float64(4.4427),np.float64(31.0),np.float64(5.633228840125392),np.float64(1.025078369905956),np.float64(796.0),np.float64(2.4952978056426334),np.float64(37.65),np.float64(-122.1),np.float64(2.045)
np.float64(3.5313),np.float64(48.0),np.float64(5.419889502762431),np.float64(0.9834254143646409),np.float64(704.0),np.float64(1.9447513812154695),np.float64(38.57),np.float64(-121.45),np.float64(1.479)
np.float64(7.642),np.float64(23.0),np.float64(7.232981783317354),np.float64(0.9884947267497604),np.float64(3221.0),np.float64(3.0882070949185043),np.float64(34.19),np.float64(-118.66),np.float64(3.749)
np.float64(2.165),np.float64(34.0),np.float64(5.304950495049505),np.float64(1.0554455445544555),np.float64(1287.0),np.float64(2.5485148514851486),np.float64(39.53),np.float64(-122.19),np.float64(0.587)
np.float64(4.4531),np.float64(16.0),np.float64(5.901408450704225),np.float64(1.0845070422535212),np.float64(559.0),np.float64(2.624413145539906),np.float64(38.34),np.float64(-120.71),np.float64(1.443)
np.float64(5.2817),np.float64(19.0),np.float64(5.848017621145375),np.float64(0.9647577092511013),np.float64(1253.0),np.float64(2.7599118942731278),np.float64(38.68),np.float64(-121.3),np.float64(1.406)
np.float64(3.8029),np.float64(36.0),np.float64(5.428057553956834),np.float64(1.0017985611510791),np.float64(1445.0),np.float64(2.5989208633093526),np.float64(38.1),np.float64(-122.21),np.float64(1.299)
np.float64(4.8274),np.float64(21.0),np.float64(5.832214765100671),np.float64(0.9899328859060402),np.float64(983.0),np.float64(3.2986577181208054),np.float64(32.57),np.float64(-117.12),np.float64(1.741)
np.float64(2.6333),np.float64(33.0),np.float64(3.743529411764706),np.float64(1.0847058823529412),np.float64(794.0),np.float64(1.868235294117647),np.float64(32.76),np.float64(-117.13),np.float64(1.4)
np.float64(5.0853),np.float64(26.0),np.float64(5.916496945010183),np.float64(1.0264765784114054),np.float64(1452.0),np.float64(2.9572301425661913),np.float64(33.68),np.float64(-117.89),np.float64(2.603)
np.float64(2.6847),np.float64(18.0),np.float64(5.704152249134948),np.float64(1.1453287197231834),np.float64(1554.0),np.float64(2.688581314878893),np.float64(40.99),np.float64(-124.08),np.float64(1.113)
np.float64(6.9391),np.float64(52.0),np.float64(8.244725738396625),np.float64(1.0337552742616034),np.float64(645.0),np.float64(2.721518987341772),np.float64(34.11),np.float64(-118.3),np.float64(5.00001)
np.float64(7.4382),np.float64(11.0),np.float64(10.822651448639157),np.float64(1.7559262510974538),np.float64(2450.0),np.float64(2.151009657594381),np.float64(33.72),np.float64(-116.33),np.float64(3.531)
