MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedianHouseValue
np.float64(2.3),np.float64(25.0),np.float64(5.828178694158075),np.float64(0.9587628865979382),np.float64(909.0),np.float64(3.1237113402061856),np.float64(36.25),np.float64(-119.4),np.float64(1.328)
np.float64(2.6848),np.float64(26.0),np.float64(4.5942684766214175),np.float64(1.0950226244343892),np.float64(888.0),np.float64(1.339366515837104),np.float64(33.61),np.float64(-117.71),np.float64(0.741)
np.float64(5.5137),np.float64(15.0),np.float64(4.90443686006826),np.float64(1.0102389078498293),np.float64(1382.0),np.float64(2.358361774744027),np.float64(33.63),np.float64(-117.73),np.float64(1.618)
np.float64(4.4539),np.float64(28.0),np.float64(4.889417360285375),np.float64(1.0237812128418549),np.float64(3211.0),np.float64(3.8180737217598097),np.float64(33.83),np.float64(-118.26),np.float64(1.922)
np.float64(1.8214),np.float64(10.0),np.float64(5.838983050847458),np.float64(1.271186440677966),np.float64(845.0),np.float64(2.3870056497175143),np.float64(36.76),np.float64(-119.85),np.float64(0.801)
np.float64(4.0125),np.float64(37.0),np.float64(5.738589211618257),np.float64(1.0746887966804979),np.float64(808.0),np.float64(3.3526970954356847),np.float64(37.61),np.float64(-122.03),np.float64(1.614)
np.float64(6.1509),np.float64(20.0),np.float64(6.492307692307692),np.float64(1.0307692307692307),np.float64(1008.0),np.float64(3.1015384615384614),np.float64(33.06),np.float64(-117.29),np.float64(3.387)
np.float64(4.15),np.float64(14.0),np.float64(6.517578125),np.float64(1.115234375),np.float64(1385.0),np.float64(2.705078125),np.float64(33.23),np.float64(-117.08),np.float64(2.722)
np.float64(5.0452),np.float64(40.0),np.float64(5.431623931623932),np.float64(1.1794871794871795),np.float64(725.0),np.float64(3.0982905982905984),np.float64(33.9),np.float64(-118.36),np.float64(2.319)
np.float64(5.0111),np.float64(16.0),np.float64(6.1577574967405475),np.float64(1.075619295958279),np.float64(4911.0),np.float64(3.201434159061278),np.float64(34.01),np.float64(-117.83),np.float64(2.129)
np.float64(4.5662),np.float64(33.0),np.float64(5.746835443037975),np.float64(1.0284810126582278),np.float64(768.0),np.float64(2.430379746835443),np.float64(32.8),np.float64(-117.0),np.float64(1.503)
np.float64(2.3382),np.float64(38.0),np.float64(3.703767123287671),np.float64(1.1147260273972603),np.float64(1759.0),np.float64(3.011986301369863),np.float64(34.02),np.float64(-118.47),np.float64(2.975)
np.float64(3.0288),np.float64(40.0),np.float64(5.125506072874494),np.float64(1.040485829959514),np.float64(547.0),np.float64(2.214574898785425),np.float64(38.13),np.float64(-121.73),np.float64(1.644)
np.float64(1.3867),np.float64(30.0),np.float64(2.6240740740740742),np.float64(1.0907407407407408),np.float64(1615.0),np.float64(2.990740740740741),np.float64(34.05),np.float64(-118.29),np.float64(1.938)
np.float64(2.6652),np.float64(22.0),np.float64(4.152302243211334),np.float64(0.9563164108618654),np.float64(3134.0),np.float64(3.7001180637544273),np.float64(34.28),np.float64(-118.4),np.float64(1.648)
np.float64(4.0491),np.float64(36.0),np.float64(6.720364741641338),np.float64(1.1671732522796352),np.float64(868.0),np.float64(2.6382978723404253),np.float64(32.79),np.float64(-117.02),np.float64(1.479)
np.float64(3.1989),np.float64(31.0),np.float64(4.376310272536688),np.float64(1.0524109014675052),np.float64(3310.0),np.float64(3.469601677148847),np.float64(34.15),np.float64(-119.19),np.float64(1.854)
np.float64(2.4006),np.float64(24.0),np.float64(5.700507614213198),np.float64(1.1725888324873097),np.float64(1291.0),np.float64(3.2766497461928936),np.float64(36.6),np.float64(-119.81),np.float64(0.764)
np.float64(1.6509),np.float64(17.0),np.float64(6.153846153846154),np.float64(1.4871794871794872),np.float64(333.0),np.float64(2.8461538461538463),np.float64(33.69),np.float64(-114.56),np.float64(0.857)
np.float64(5.1824),np.float64(32.0),np.float64(5.641148325358851),np.float64(1.1961722488038278),np.float64(369.0),np.float64(1.7655502392344498),np.float64(33.72),np.float64(-118.07),np.float64(5.00001)
np.float64(3.5625),np.float64(11.0),np.float64(4.517890772128061),np.float64(0.992467043314501),np.float64(2307.0),np.float64(4.344632768361582),np.float64(34.08),np.float64(-117.99),np.float64(1.41)
np.float64(3.0833),np.float64(27.0),np.float64(3.5584),np.float64(0.9888),np.float64(1594.0),np.float64(2.5504),np.float64(34.02),np.float64(-118.41),np.float64(3.155)
