MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedianHouseValue
np.float64(3.226),np.float64(52.0),np.float64(5.372469635627531),np.float64(0.9473684210526315),np.float64(1157.0),np.float64(2.3421052631578947),np.float64(37.96),np.float64(-121.31),np.float64(1.076)
np.float64(5.0603),np.float64(26.0),np.float64(6.304),np.float64(1.016),np.float64(346.0),np.float64(2.768),np.float64(32.81),np.float64(-117.17),np.float64(1.857)
np.float64(1.6993),np.float64(28.0),np.float64(4.721153846153846),np.float64(1.0673076923076923),np.float64(1196.0),np.float64(3.8333333333333335),np.float64(34.15),np.float64(-117.33),np.float64(0.678)
np.float64(3.2589),np.float64(9.0),np.float64(11.458507963118189),np.float64(2.0561609388097235),np.float64(2811.0),np.float64(2.3562447611064545),np.float64(37.84),np.float64(-120.2),np.float64(1.379)
np.float64(5.0461),np.float64(15.0),np.float64(7.351981351981352),np.float64(1.1375291375291374),np.float64(1656.0),np.float64(3.86013986013986),np.float64(33.19),np.float64(-117.11),np.float64(2.224)
np.float64(3.0434),np.float64(22.0),np.float64(19.163120567375888),np.float64(3.9361702127659575),np.float64(1062.0),np.float64(2.5106382978723403),np.float64(34.24),np.float64(-117.2),np.float64(1.372)
np.float64(3.5055),np.float64(47.0),np.float64(5.273612463485882),np.float64(1.085686465433301),np.float64(2177.0),np.float64(2.1197663096397275),np.float64(37.97),np.float64(-122.57),np.float64(3.821)
np.float64(3.9044),np.float64(20.0),np.float64(3.7144790257104194),np.float64(1.0581867388362651),np.float64(1161.0),np.float64(1.5710419485791611),np.float64(34.1),np.float64(-118.35),np.float64(4.364)
np.float64(3.9265),np.float64(11.0),np.float64(4.975903614457831),np.float64(0.9036144578313253),np.float64(684.0),np.float64(4.120481927710843),np.float64(38.03),np.float64(-121.28),np.float64(1.074)
np.float64(2.75),np.float64(32.0),np.float64(6.090301003344481),np.float64(1.1538461538461537),np.float64(812.0),np.float64(2.7157190635451505),np.float64(36.32),np.float64(-119.25),np.float64(0.722)
np.float64(2.7254),np.float64(41.0),np.float64(3.834829443447038),np.float64(0.9856373429084381),np.float64(986.0),np.float64(1.770197486535009),np.float64(34.02),np.float64(-118.47),np.float64(4.444)
np.float64(5.1009),np.float64(52.0),np.float64(6.123333333333333),np.float64(1.0433333333333332),np.float64(668.0),np.float64(2.2266666666666666),np.float64(32.69),np.float64(-117.18),np.float64(5.00001)
np.float64(4.6167),np.float64(11.0),np.float64(4.694835680751174),np.float64(0.9178403755868545),np.float64(1503.0),np.float64(3.528169014084507),np.float64(34.09),np.float64(-117.61),np.float64(1.44)
np.float64(4.75),np.float64(35.0),np.float64(5.626984126984127),np.float64(1.1031746031746033),np.float64(1247.0),np.float64(3.298941798941799),np.float64(33.86),np.float64(-117.94),np.float64(1.856)
np.float64(3.5),np.float64(14.0),np.float64(5.5528455284552845),np.float64(1.0785907859078592),np.float64(1071.0),np.float64(2.902439024390244),np.float64(38.16),np.float64(-121.32),np.float64(2.408)
np.float64(10.8289),np.float64(9.0),np.float64(6.825027685492802),np.float64(1.1118493909191585),np.float64(1912.0),np.float64(2.1173864894795127),np.float64(33.63),np.float64(-117.87),np.float64(5.00001)
np.float64(4.1375),np.float64(16.0),np.float64(6.214452214452215),np.float64(1.048951048951049),np.float64(1203.0),np.float64(2.804195804195804),np.float64(35.49),np.float64(-120.69),np.float64(2.224)
np.float64(3.3125),np.float64(49.0),np.float64(4.698581560283688),np.float64(0.9822695035460993),np.float64(764.0),np.float64(2.7092198581560285),np.float64(37.74),np.float64(-122.15),np.float64(1.18)
np.float64(6.1349),np.float64(33.0),np.float64(6.893416927899686),np.float64(0.9780564263322884),np.float64(827.0),np.float64(2.592476489028213),np.float64(37.55),np.float64(-122.33),np.float64(5.00001)
np.float64(3.0293),np.float64(28.0),np.float64(3.9799764428739692),np.float64(1.0812720848056536),np.float64(1849.0),np.float64(2.177856301531213),np.float64(32.8),np.float64(-117.23),np.float64(2.417)
